"Time","Instrument","Type","Qty.","Avg. price","Product","Status",""
"2018-01-15 16:09:38","SRSLTD","BUY","0","1.8","CNC","CANCELLED",""
"2018-01-15 14:10:27","SHAHALLOYS","BUY","100","18.5","CNC","COMPLETE",""
"2018-01-15 13:25:08","PINCON","BUY","200","42","CNC","COMPLETE",""
"2018-01-15 12:13:11","MANDHANA-BE","SELL","150","8.65","CNC","COMPLETE",""
"2018-01-15 12:12:23","SYNCOMF","SELL","450","2.06","CNC","COMPLETE",""
"2018-01-15 10:49:20","BAGFILMS-BE","SELL","150","7.1","CNC","COMPLETE",""
"2018-01-15 10:45:47","PRAKASHCON","SELL","350","9.75","CNC","COMPLETE",""
"2018-01-15 10:38:59","V2RETAIL","SELL","5","491","CNC","COMPLETE",""
"2018-01-15 10:28:26","SAIL","SELL","15","100.15","CNC","COMPLETE",""
"2018-01-15 10:26:14","MOREPENLAB","SELL","25","43","CNC","COMPLETE",""
"2018-01-15 10:25:43","GVKPIL-BE","SELL","150","26.8","CNC","COMPLETE",""
